-25000,-24740,-24480,-24220,-23960,-23700,-23440,-23180,-22920,-22660,-22400,-22140,-21880,-21620,-21360,-21100,-20840,-20580,-20320,-20060,-19800,-19540,-19280,-19020,-18760,-18500,-18240,-17980,-17720,-17460,-17200,-16940,-16680,-16420,-16160,-15900,-15640,-15380,-15120,-14860,-14600,-14340,-14080,-13820,-13560,-13300,-13040,-12780,-12520,-12260,-12000,-11740,-11480,-11220,-10960,-10700,-10440,-10180,-9920,-9660,-9400,-9140,-8880,-8620,-8360,-8100,-7840,-7580,-7320,-7060,-6800,-6540,-6280,-6020,-5760,-5500,-5240,-4980,-4720,-4460,-4200,-3940,-3680,-3420,-3160,-2900,-2640,-2380,-2120,-1860,-1600,-1340,-1080,-820,-560,-300,-40,220,480,740,
0.0296151,509.987,509.836,509.681,509.523,509.362,509.197,509.028,508.856,508.679,508.499,508.314,508.124,507.931,507.732,507.529,507.32,507.106,506.887,506.662,506.431,506.193,505.95,505.7,505.442,505.178,504.906,504.626,504.338,504.041,503.735,503.42,503.095,502.759,502.413,502.055,501.686,501.304,500.909,500.499,500.075,499.636,499.181,498.708,498.217,497.707,497.176,496.624,496.048,495.448,494.822,494.168,493.484,492.769,492.019,491.233,490.407,489.539,488.625,487.662,486.645,485.569,484.431,483.223,481.94,480.574,479.116,477.558,475.888,474.095,472.163,470.077,467.816,465.359,462.678,459.741,456.51,452.938,448.969,444.531,439.539,433.879,427.409,419.941,411.224,400.915,388.53,373.363,354.34,329.717,296.412,248.095,166.579,2.24968e-08,2.59455e-08,3.3668e-06,2.12143e-08,454.171,746.536,816.666,798.238,
0.0318932,508.57,508.407,508.24,508.07,507.895,507.717,507.535,507.349,507.158,506.963,506.763,506.559,506.349,506.135,505.915,505.69,505.459,505.222,504.979,504.729,504.473,504.21,503.939,503.661,503.376,503.082,502.779,502.468,502.147,501.817,501.476,501.125,500.762,500.388,500.001,499.602,499.189,498.761,498.319,497.861,497.386,496.893,496.382,495.851,495.299,494.725,494.127,493.505,492.856,492.178,491.471,490.731,489.956,489.145,488.294,487.4,486.46,485.47,484.427,483.325,482.16,480.927,479.618,478.227,476.746,475.166,473.477,471.666,469.72,467.624,465.359,462.905,460.236,457.323,454.131,450.617,446.732,442.412,437.58,432.139,425.967,418.905,410.744,401.207,389.91,376.311,359.611,338.58,311.185,273.701,217.861,112.309,-2.62937e-08,-1.1489e-07,1.62013e-08,7.25035e-08,458.559,740.32,816.532,804.849,
0.0341713,507.15,506.974,506.795,506.612,506.424,506.233,506.037,505.837,505.632,505.423,505.208,504.988,504.763,504.533,504.297,504.055,503.806,503.552,503.29,503.022,502.747,502.464,502.173,501.875,501.567,501.251,500.926,500.591,500.247,499.891,499.525,499.147,498.757,498.355,497.939,497.51,497.065,496.606,496.13,495.637,495.126,494.596,494.046,493.474,492.881,492.263,491.62,490.95,490.251,489.522,488.76,487.963,487.13,486.256,485.339,484.376,483.364,482.297,481.173,479.986,478.731,477.401,475.99,474.491,472.893,471.189,469.366,467.412,465.312,463.049,460.603,457.951,455.067,451.918,448.466,444.665,440.46,435.781,430.545,424.646,417.948,410.277,401.403,391.018,378.695,363.826,345.509,322.331,291.902,249.627,184.075,-8.42218e-08,5.28653e-08,1.64124e-10,3.7166e-09,3.93291e-08,462.374,734.057,815.437,810.168,
0.0364494,505.725,505.538,505.346,505.15,504.95,504.745,504.535,504.321,504.102,503.878,503.648,503.414,503.173,502.926,502.674,502.415,502.149,501.876,501.597,501.31,501.015,500.713,500.402,500.082,499.753,499.415,499.067,498.709,498.339,497.959,497.567,497.163,496.745,496.314,495.869,495.409,494.934,494.441,493.932,493.404,492.857,492.289,491.7,491.088,490.452,489.79,489.101,488.383,487.634,486.853,486.036,485.182,484.288,483.351,482.369,481.336,480.25,479.107,477.901,476.627,475.28,473.853,472.339,470.729,469.014,467.184,465.226,463.126,460.869,458.437,455.807,452.955,449.852,446.463,442.747,438.653,434.12,429.076,423.427,417.057,409.819,401.521,391.911,380.647,367.256,351.055,331.023,305.531,271.729,223.779,144.311,-9.19601e-09,1.34072e-08,1.20086e-08,1.08949e-08,-3.00392e-09,465.71,727.825,813.572,814.341,
0.0387275,504.297,504.097,503.893,503.684,503.471,503.252,503.029,502.801,502.568,502.329,502.084,501.834,501.577,501.315,501.045,500.769,500.486,500.196,499.898,499.592,499.278,498.955,498.624,498.283,497.933,497.572,497.201,496.819,496.425,496.02,495.602,495.171,494.726,494.266,493.791,493.301,492.793,492.268,491.725,491.162,490.578,489.972,489.344,488.691,488.012,487.306,486.57,485.804,485.005,484.17,483.299,482.387,481.432,480.432,479.382,478.279,477.119,475.898,474.609,473.248,471.808,470.283,468.664,466.942,465.108,463.15,461.055,458.808,456.392,453.787,450.971,447.916,444.59,440.957,436.971,432.578,427.712,422.293,416.221,409.369,401.576,392.633,382.262,370.085,355.577,337.974,316.112,288.097,250.471,195.484,91.1043,-4.40852e-09,-3.53378e-08,-1.77777e-08,3.97899e-07,-1.07385e-08,468.647,721.684,811.093,817.504,
0.0410056,502.865,502.653,502.436,502.214,501.987,501.756,501.519,501.277,501.029,500.775,500.516,500.25,499.977,499.698,499.412,499.119,498.818,498.51,498.194,497.869,497.535,497.192,496.84,496.478,496.106,495.723,495.329,494.923,494.505,494.074,493.63,493.171,492.698,492.21,491.706,491.184,490.645,490.087,489.509,488.91,488.29,487.646,486.977,486.283,485.561,484.81,484.028,483.213,482.363,481.475,480.548,479.578,478.562,477.497,476.38,475.206,473.971,472.67,471.298,469.849,468.315,466.69,464.965,463.13,461.175,459.088,456.854,454.457,451.88,449.101,446.095,442.833,439.281,435.398,431.137,426.439,421.233,415.432,408.926,401.579,393.216,383.606,372.446,359.32,343.642,324.553,300.724,269.921,227.843,163.505,-2.55801e-08,-9.2926e-09,-9.8485e-09,-1.3073e-08,6.37008e-09,-7.17663e-07,471.244,715.674,808.127,819.777,
0.0432837,501.429,501.204,500.975,500.74,500.5,500.255,500.004,499.748,499.486,499.217,498.942,498.661,498.372,498.077,497.774,497.464,497.145,496.819,496.484,496.14,495.787,495.424,495.051,494.667,494.273,493.867,493.45,493.02,492.577,492.121,491.65,491.165,490.664,490.146,489.612,489.059,488.488,487.896,487.284,486.65,485.992,485.309,484.601,483.865,483.099,482.303,481.474,480.61,479.708,478.767,477.783,476.754,475.677,474.547,473.361,472.116,470.805,469.424,467.967,466.429,464.8,463.074,461.242,459.293,457.215,454.997,452.622,450.074,447.333,444.376,441.177,437.704,433.922,429.786,425.245,420.236,414.682,408.489,401.539,393.684,384.732,374.434,362.456,348.338,331.428,310.757,284.791,250.855,203.41,125.078,-8.02662e-10,-2.21918e-08,-1.31811e-08,4.64389e-08,2.14656e-08,-6.60652e-06,473.552,709.826,804.777,821.272,
0.0455617,499.989,499.752,499.51,499.262,499.009,498.75,498.485,498.215,497.938,497.654,497.364,497.067,496.763,496.451,496.131,495.803,495.467,495.122,494.769,494.405,494.032,493.649,493.255,492.85,492.434,492.006,491.565,491.111,490.643,490.161,489.663,489.151,488.621,488.075,487.51,486.926,486.322,485.697,485.05,484.38,483.684,482.963,482.214,481.436,480.627,479.785,478.908,477.994,477.041,476.045,475.005,473.916,472.776,471.581,470.326,469.008,467.621,466.159,464.617,462.988,461.263,459.435,457.494,455.429,453.228,450.876,448.358,445.656,442.749,439.612,436.217,432.531,428.514,424.12,419.293,413.966,408.056,401.462,394.056,385.678,376.12,365.109,352.279,337.123,318.911,296.542,268.227,230.694,176.44,70.3689,-3.3321e-09,1.2136e-09,-3.45648e-08,4.39063e-09,-1.2191e-08,-4.25656e-07,475.611,704.158,801.128,822.084,
0.0478398,498.545,498.296,498.04,497.78,497.513,497.241,496.962,496.677,496.386,496.087,495.782,495.469,495.148,494.82,494.483,494.138,493.784,493.421,493.048,492.665,492.272,491.869,491.454,491.027,490.589,490.137,489.673,489.194,488.701,488.193,487.669,487.129,486.571,485.995,485.4,484.785,484.148,483.489,482.807,482.1,481.367,480.607,479.817,478.996,478.143,477.255,476.33,475.366,474.36,473.31,472.212,471.064,469.861,468.599,467.275,465.883,464.419,462.875,461.247,459.526,457.704,455.773,453.722,451.539,449.212,446.726,444.063,441.205,438.129,434.809,431.214,427.31,423.054,418.397,413.279,407.627,401.353,394.348,386.474,377.557,367.373,355.623,341.905,325.656,306.059,281.852,250.917,209.134,145.551,1.48803e-09,-1.14558e-08,-6.04663e-09,1.20138e-08,1.84208e-09,-9.33263e-09,-1.7545e-07,477.455,698.683,797.25,822.303,
0.0501179,497.098,496.835,496.567,496.293,496.014,495.727,495.435,495.135,494.829,494.515,494.194,493.865,493.529,493.183,492.83,492.467,492.095,491.713,491.322,490.92,490.507,490.082,489.646,489.198,488.737,488.262,487.774,487.271,486.753,486.219,485.668,485.1,484.513,483.908,483.282,482.635,481.965,481.272,480.555,479.811,479.04,478.24,477.409,476.546,475.648,474.713,473.74,472.726,471.667,470.561,469.406,468.197,466.93,465.601,464.207,462.741,461.198,459.572,457.856,456.043,454.123,452.087,449.924,447.622,445.168,442.545,439.736,436.719,433.471,429.965,426.168,422.042,417.543,412.618,407.202,401.218,394.571,387.144,378.789,369.317,358.484,345.965,331.317,313.915,292.835,266.617,232.705,185.701,107.435,-1.01597e-07,5.14763e-09,-5.36642e-09,3.32797e-10,1.85674e-08,-1.50009e-08,5.53254e-08,479.11,693.406,793.202,822.004,
